TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
NJJG[28].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,1058,2,0,NJJGResultOK28,NUMBER,0,999,FALSE,FALSE
NJJG[28].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,1060,2,0,NJJGOrderNo28,NUMBER,0,999,FALSE,FALSE
NJJG[28].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,1062,2,0,NJJGProgramNo28,NUMBER,0,999,FALSE,FALSE
NJJG[28].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,1064,4,0,NJJGTorqueResult28,NUMBER,0,999,TRUE,TRUE
NJJG[28].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,1068,4,0,NJJGAngleResult28,NUMBER,0,999,TRUE,TRUE
NJJG[29].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,1072,2,0,NJJGResultOK29,NUMBER,0,999,FALSE,FALSE
NJJG[29].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,1074,2,0,NJJGOrderNo29,NUMBER,0,999,FALSE,FALSE
NJJG[29].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,1076,2,0,NJJGProgramNo29,NUMBER,0,999,FALSE,FALSE
NJJG[29].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,1078,4,0,NJJGTorqueResult29,NUMBER,0,999,TRUE,TRUE
NJJG[29].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,1082,4,0,NJJGAngleResult29,NUMBER,0,999,TRUE,TRUE
NJJG[30].ResultOK,SIEMENSS7,172.16.32.2,SHORT,200,1086,2,0,NJJGResultOK30,NUMBER,0,999,FALSE,FALSE
NJJG[30].OrderNo,SIEMENSS7,172.16.32.2,SHORT,200,1088,2,0,NJJGOrderNo30,NUMBER,0,999,FALSE,FALSE
NJJG[30].ProgramNo,SIEMENSS7,172.16.32.2,SHORT,200,1090,2,0,NJJGProgramNo30,NUMBER,0,999,FALSE,FALSE
NJJG[30].TorqueResult,SIEMENSS7,172.16.32.2,FLOAT,200,1092,4,0,NJJGTorqueResult30,NUMBER,0,999,TRUE,TRUE
NJJG[30].AngleResult,SIEMENSS7,172.16.32.2,FLOAT,200,1096,4,0,NJJGAngleResult30,NUMBER,0,999,TRUE,TRUE
FinishSignal,SIEMENSS7,172.16.32.2,BIT,200,4600,1,0,FinishSignal,BOOLEAN,0,999,FALSE,FALSE
ResCode,SIEMENSS7,172.16.32.2,SHORT,200,4602,2,0,ResCode,NUMBER,0,999,FALSE,FALSE
