TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
Tighten the data[34].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,1092,2,0,OrderNo34,NUMBER,0,999,FALSE,FALSE
Tighten the data[34].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,1094,2,0,ProgramNo34,NUMBER,0,999,FALSE,FALSE
Tighten the data[34].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,1096,4,0,TorqueResult34,NUMBER,0,999,TRUE,TRUE
Tighten the data[34].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,1100,4,0,AngleResult34,NUMBER,0,999,TRUE,TRUE
Tighten the data[35].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,1104,2,0,ResultOK35,NUMBER,0,999,FALSE,FALSE
Tighten the data[35].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,1106,2,0,OrderNo35,NUMBER,0,999,FALSE,FALSE
Tighten the data[35].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,1108,2,0,ProgramNo35,NUMBER,0,999,FALSE,FALSE
Tighten the data[35].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,1110,4,0,TorqueResult35,NUMBER,0,999,TRUE,TRUE
Tighten the data[35].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,1114,4,0,AngleResult35,NUMBER,0,999,TRUE,TRUE
Tighten the data[36].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,1118,2,0,ResultOK36,NUMBER,0,999,FALSE,FALSE
Tighten the data[36].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,1120,2,0,OrderNo36,NUMBER,0,999,FALSE,FALSE
Tighten the data[36].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,1122,2,0,ProgramNo36,NUMBER,0,999,FALSE,FALSE
Tighten the data[36].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,1124,4,0,TorqueResult36,NUMBER,0,999,TRUE,TRUE
Tighten the data[36].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,1128,4,0,AngleResult36,NUMBER,0,999,TRUE,TRUE
Tighten the data[37].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,1132,2,0,ResultOK37,NUMBER,0,999,FALSE,FALSE
Tighten the data[37].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,1134,2,0,OrderNo37,NUMBER,0,999,FALSE,FALSE
Tighten the data[37].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,1136,2,0,ProgramNo37,NUMBER,0,999,FALSE,FALSE
Tighten the data[37].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,1138,4,0,TorqueResult37,NUMBER,0,999,TRUE,TRUE
Tighten the data[37].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,1142,4,0,AngleResult37,NUMBER,0,999,TRUE,TRUE
Tighten the data[38].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,1146,2,0,ResultOK38,NUMBER,0,999,FALSE,FALSE
Tighten the data[38].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,1148,2,0,OrderNo38,NUMBER,0,999,FALSE,FALSE
Tighten the data[38].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,1150,2,0,ProgramNo38,NUMBER,0,999,FALSE,FALSE
Tighten the data[38].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,1152,4,0,TorqueResult38,NUMBER,0,999,TRUE,TRUE
Tighten the data[38].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,1156,4,0,AngleResult38,NUMBER,0,999,TRUE,TRUE
Tighten the data[39].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,1160,2,0,ResultOK39,NUMBER,0,999,FALSE,FALSE
Tighten the data[39].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,1162,2,0,OrderNo39,NUMBER,0,999,FALSE,FALSE
Tighten the data[39].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,1164,2,0,ProgramNo39,NUMBER,0,999,FALSE,FALSE
Tighten the data[39].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,1166,4,0,TorqueResult39,NUMBER,0,999,TRUE,TRUE
Tighten the data[39].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,1170,4,0,AngleResult39,NUMBER,0,999,TRUE,TRUE
Tighten the data[40].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,1174,2,0,ResultOK40,NUMBER,0,999,FALSE,FALSE
Tighten the data[40].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,1176,2,0,OrderNo40,NUMBER,0,999,FALSE,FALSE
Tighten the data[40].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,1178,2,0,ProgramNo40,NUMBER,0,999,FALSE,FALSE
Tighten the data[40].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,1180,4,0,TorqueResult40,NUMBER,0,999,TRUE,TRUE
Tighten the data[40].AngleResult,SIEMENSS7,172.16.33.2,REAL,200,1184,4,0,AngleResult40,NUMBER,0,999,TRUE,TRUE
Tighten the data[41].ResultOK,SIEMENSS7,172.16.33.2,SHORT,200,1188,2,0,ResultOK41,NUMBER,0,999,FALSE,FALSE
Tighten the data[41].OrderNo,SIEMENSS7,172.16.33.2,SHORT,200,1190,2,0,OrderNo41,NUMBER,0,999,FALSE,FALSE
Tighten the data[41].ProgramNo,SIEMENSS7,172.16.33.2,SHORT,200,1192,2,0,ProgramNo41,NUMBER,0,999,FALSE,FALSE
Tighten the data[41].TorqueResult,SIEMENSS7,172.16.33.2,REAL,200,1194,4,0,TorqueResult41,NUMBER,0,999,TRUE,TRUE
